epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1559.42,0.51062,0.42405,0.00713,0.98381,0.91339,0.94895,0.8501,0.49551,0.39297,0.00821,0.000445756,0.000445756,0.000445756
76,1581.86,0.50902,0.44497,0.00689,0.97258,0.92267,0.93653,0.84021,0.50875,0.39344,0.00817,0.000429253,0.000429253,0.000429253
77,1603.12,0.49834,0.40755,0.00672,0.98393,0.899,0.94743,0.83805,0.53661,0.38562,0.00876,0.000412749,0.000412749,0.000412749
78,1624.17,0.5083,0.43069,0.00712,0.96815,0.92245,0.95534,0.85595,0.5311,0.34838,0.00849,0.000396246,0.000396246,0.000396246
79,1645.3,0.48966,0.41348,0.00687,0.96916,0.90311,0.95105,0.8541,0.50208,0.38012,0.00806,0.000379743,0.000379743,0.000379743
80,1666.41,0.49649,0.42374,0.00709,0.98487,0.91265,0.95565,0.84241,0.54271,0.37473,0.00872,0.000363239,0.000363239,0.000363239
81,1687.44,0.49834,0.4308,0.0068,0.98973,0.93536,0.9565,0.8599,0.52828,0.34814,0.00874,0.000346736,0.000346736,0.000346736
82,1708.74,0.49474,0.42539,0.0069,0.98115,0.92251,0.95518,0.86204,0.49692,0.34284,0.00815,0.000330233,0.000330233,0.000330233
83,1729.86,0.49657,0.41626,0.00705,0.98881,0.91547,0.95604,0.85607,0.50984,0.33504,0.00829,0.000313729,0.000313729,0.000313729
84,1750.78,0.48838,0.41842,0.00677,0.97738,0.93527,0.95714,0.85789,0.49237,0.3192,0.00787,0.000297226,0.000297226,0.000297226
85,1771.97,0.48082,0.40514,0.00628,0.97216,0.93527,0.95606,0.85807,0.49221,0.32505,0.00789,0.000280723,0.000280723,0.000280723
86,1792.92,0.47517,0.38729,0.00652,0.96908,0.902,0.95539,0.85882,0.49566,0.33529,0.00803,0.00026422,0.00026422,0.00026422
87,1814.15,0.50153,0.39896,0.00691,0.97168,0.94745,0.95827,0.86016,0.52966,0.33802,0.00834,0.000247716,0.000247716,0.000247716
88,1835.02,0.47557,0.41305,0.00663,0.99056,0.93225,0.9579,0.85501,0.50503,0.34428,0.00813,0.000231213,0.000231213,0.000231213
89,1856.11,0.46042,0.39124,0.0065,0.98981,0.91901,0.94883,0.85365,0.51335,0.38539,0.00812,0.00021471,0.00021471,0.00021471
90,1877.11,0.48643,0.41091,0.00665,0.98767,0.92397,0.94617,0.84983,0.50747,0.40513,0.00796,0.000198206,0.000198206,0.000198206
91,1924.26,0.29902,0.1909,0.00504,0.96548,0.92612,0.95602,0.86144,0.51364,0.32536,0.00824,0.000181703,0.000181703,0.000181703
92,1945.33,0.2851,0.17816,0.00478,0.99721,0.94041,0.95892,0.86948,0.50774,0.30868,0.00816,0.0001652,0.0001652,0.0001652
93,1966.32,0.28983,0.17799,0.0048,0.99028,0.94745,0.9586,0.86371,0.495,0.30059,0.00789,0.000148696,0.000148696,0.000148696
94,1987.4,0.273,0.17149,0.00446,0.97533,0.92341,0.95811,0.85717,0.4901,0.32344,0.00779,0.000132193,0.000132193,0.000132193
95,2007.45,0.28087,0.16979,0.00452,0.99679,0.93053,0.95853,0.85768,0.49765,0.30251,0.00796,0.00011569,0.00011569,0.00011569
96,2027.29,0.26688,0.17051,0.0045,0.9694,0.94602,0.95745,0.86064,0.49042,0.29027,0.00775,9.91865e-05,9.91865e-05,9.91865e-05
97,2047.51,0.26115,0.16799,0.00439,0.99008,0.94152,0.95915,0.85881,0.48898,0.28753,0.00781,8.26832e-05,8.26832e-05,8.26832e-05
98,2068.64,0.25734,0.15981,0.00444,0.96708,0.9467,0.95832,0.86134,0.48322,0.30601,0.00769,6.61799e-05,6.61799e-05,6.61799e-05
99,2090,0.25807,0.15743,0.00443,0.97092,0.95245,0.95839,0.8616,0.47886,0.29914,0.00769,4.96766e-05,4.96766e-05,4.96766e-05
100,2111.58,0.25572,0.17595,0.00464,0.98124,0.94082,0.95873,0.86587,0.47774,0.29458,0.00755,3.31733e-05,3.31733e-05,3.31733e-05
